sentence ,type
Early in the second period Bud MacPherson broke his stick on the ribs of Torontos Ron Stewart,S
He chose not to retaliate until a more opportune time,S
It came at 1812 of the third period when Stewart and MacPherson collided again,S
This time they pushed and shoved and the gloves came off and they began to pummel each other,S
Tom Johnson came to MacPhersons aid by putting a headlock on Stewart and Stewart threw a punch that landed on Johnsons jaw,S
Stewart pursued MacPherson again now that he was in combat with Eric Nesterenko of Toronto and soon the benches emptied and everyone was fighting except Maurice Richard and Tim Horton who merely grabbed each others sweaters,S
Referee Frank Udvari handed out 36 penalties including 15 misconducts for a record 204 minutes in penalties,S
With almost 2 minutes left in the game only 8 players from each team excluding the goaltenders Gerry McNeil and Harry Lumley who did battle in the brawl were permitted to finish the game,S
Almost forgotten was that Toronto won the game 30,S
The Rangers gained some publicity by using a socalled elixir prepared by restaurateur Gene Leone but no conclusive results were reported,S
There were persistent rumours that the Chicago Black Hawks would fold due to the poor performance of the team and fans staying away in droves,S
NHL president Clarence Campbell discussed the problems with Arthur M Wirtz and it was announced that the rumours were without foundation,S
President Campbell was busy this year imposing fines and suspensions,S
As a result of pushing referee Frank Udvari into the boards during a November 12 game Bernie Geoffrion was fined 250,S
Later in a December 20 game he and Ron Murphy engaged in stick swinging which left Murphy with a broken jaw,S
The Detroit Red Wings were first overall in the National Hockey League for the sixth straight season,S
He had been grooming Lynn Patrick to succeed him and Patrick took over as general manager,S
His father Charles H Wilson was a patent attorney who unsuccessfully ran for a seat in the State Assembly in 1912,S
League Division 1 1  2012J,S
William Averell Harriman November 15 1891July 26 1986 was an American Democratic Party politician businessman and diplomat,S
Enos Thompson Throop   August 21 1784  November 1 1874 was an American lawyer politician and diplomat who was the tenth Governor of New York from 1829 to 1832,S
The Vampire Academy series was also one of the New York Times Bestseller top ten in the childrens books series division,S
He was the 13th Governor of New York from 1843 to 1844,S
Juan Simón born March 2 1960 in Rosario is a former football soccer defender from Argentina,S
Gustavo Abel Dezotti born 14 February 1964 is a former football soccer striker from Argentina,S
Lesley Rosemary Turner Bowrey born 16 August 1942 is a retired Australian female tennis player,S
The 195455 NHL season was the 38th season of the National Hockey League,S
The Detroit Red Wings were the Stanley Cup champions as they defeated the Montreal Canadiens four games to three in the bestofseven final series,S
Conn Smythe and Frank Selke voiced the good wishes of all present to Ross on his retirement,S
Prior to the season Red Wings head coach Tommy Ivan left Detroit to become general manager of the Chicago Black Hawks and Jimmy Skinner replaced him behind the bench in the Motor City,S
One of the first things Ivan did at Chicago was to establish an extensive farm system something the Black Hawks never had,S
Montreal and Toronto played to a 11 tie on December 29 at Maple Leaf Gardens,S
In a scoreless tie at the Montreal Forum on March 10 a new ice cleaner and resurfacer called a Zamboni was used for the first time,S
The fans were not appreciative of Torontos defensive style in this game and threw garbage including pigs feet on the ice,S
Where Myth Fades to Legend is the second fulllength studio album by Alesana released through Fearless Records on June 3 2008,S
The album was produced by Steve Evetts and recorded in Los Angeles California,S
Many of the albums songs are rerecorded versions of tracks that were included on the bands 2005 EP Try This with Your Eyes Closed,S
According to vocalist and rhythm guitarist Shawn Milke This Is Usually the Part Where People Scream is influenced by the television show Heroes,S
When the series premiered Save the cheerleader save the world closed all the promotions for Heroes which is similar to Its a chance to save the world or lose the girl,S
Seduction is based on The Maiden Maleen a tale about a girl who is trapped inside of a tower left with enough food to survive for only one year,S
When she finally escapes she finds that her one true love is with another,S
A Most Profound Quiet is a variation on the story The Robber Bridegroom in which the bridegroom is torn between loving his future wife or killing her,S
Better Luck Next Time Prince Charming alludes to the tale of Snow White,S
Sweetheart You are Sadly Mistaken is an adaptation of Hansel and Gretel,S
As You Wish is about the novelmovie The Princess Bride from the point of view of Westley,S
Obsession Is Such an Ugly Word is based on the Fitchers Bird in the tale three sisters are captured by a wizard,S
One sister discovers that the other two have been slaughtered in a room that she has been given a key to she is warned that she would pay if she opened the door,S
Judith of Habsburg 13 March 1271  21 May 1297 was the youngest daughter of Rudolph I of Germany and his wife Gertrude of Hohenburg,S
Judiths sisters also married powerful kings and dukes her sister Klementia married Charles Martel of Anjou son of Charles II of Naples and her sister Matilda married Louis II Duke of Bavaria,S
She did eventually leave her family in Germany and came to Prague to be with her husband,S
Like her father Judith hated Zavish Lord of Falkenstejn stepfather of her husband,S
He had acted as regent with the Dowager Queen Kunigunda of Slavonia whom he secretly married,S
Judith helped bring Zavish to trial and he was eventually executed in 1290 five years after the death of Queen Kunigunda,S
She also brought German influences to the Prague court like the introduction of knights at court,S
Judith was not in good health during the time of the coronation having just given birth to her tenth child,S
According to the family chronicles Judith was described as beautiful noble and virtuous,S
Wenceslaus III  6 October 1289  4 August 1306 King of Bohemia King of Hungary and King of Poland,S
Anna  10 October 1290  3 September 1313 married in 1306 to Henry of Carinthia,S
Elisabeth  20 January 1292  28 September 1330 married in 1310 to John I of Bohemia Judith  3 March 1293  3 August 1294,S
John  26 February 1294  1 March 1295,S
John  21 February 1295  6 December 1296,S
Margareta  21 February 1296  8 April 1322 married to Bolesław III the Generous Duke of Wrocław,S
Judith born and died 21 May 1297,S
He attended local public schools Brooklyn Technical High School and graduated from Queens College in 1965,S
After college Ackerman became a New York City School teacher where he taught social studies mathematics and journalism to junior high school students in Queens,S
Engel is the senior Representative from New York on the Energy and Commerce Committee and the Representative from New York on the Subcommittee on Energy and the Environment,S
The 195556 NHL season was the 39th season of the National Hockey League,S
Six teams each played 70 games,S
The Montreal Canadiens were the Stanley Cup champions as they beat the Detroit Red Wings four games to one in the bestofseven final series,S
It was contended that the present orange and black uniforms were confusing to players and fans particularly when red uniforms are worn by either of the participating teams,S
Furthermore it was pointed out that the existing uniforms showed up black on television,S
It was unanimously agreed that officials uniforms should be changed to black and white vertical stripes,S
The Canadiens were the lone club to vote against the new legislation,S
The Canadiens set a new record for wins in a season with 45,S
The Canadiens had a new coach their onetime great former AllStar leftwinger Hector Toe Blake,S
Dick Irvin formerly the coach in Montreal whom Habs GM Frank Selke Sr found a little truculent took over as coach in Chicago but could not get them out of the cellar though they did improve,S
It was sort of a homecoming for Irvin as he started his coaching career with Chicago in 1930,S
In the game itself rookie Henri Richard scored two goals as Montreal shut out Chicago 60,S
On November 5 Jean Beliveau scored three goals in 44 seconds as Montreal beat Boston 43,S
The record for fastest hat trick still was held by Bill Mosienko with three goals in 21 seconds,S
On January 11 a crowd of 15570 delighted fans at Madison Square Garden watched the Rangers trounce the Canadiens 61,S
Pete Conacher was a star for the Rangers with two goals,S
Lou Fontinato and Maurice Richard had a gala fight and Fontinato knocked out Richard with a punch that required several stitches above Richards eye,S
Montreal routed the Rangers 94 on February 18 as Beliveau had the hat trick and Richard two,S
The Rocket was incensed when referee Louis Maschio gave his brother a misconduct penalty and his teammates had to cool him off,S
Maurice Richard was hurt in this game when he fell over Hawk defenceman Pierre Pilotes skate and went headlong into the goal,S
The Rocket was back in the lineup on St Patricks Day as the Canadiens trounced the Rangers 72 and Richard had the hat trick,S
Rookie Glenn Hall had a fabulous year with 12 shutouts and a 211 goals against average for the everpowerful Detroit Red Wings,S
He received the Calder Memorial Trophy over Henri Pocket Rocket Richard,S
The column of Arcadius was a Roman triumphal column begun in 401 in the forum of Arcadius in Constantinople to commemorate Arcadiuss triumph over the Goths under Gainas in 400,S
However Levamisole was withdrawn from the US and Canadian markets in 1999 and 2003 respectively due to the risk of serious side effects and the availability of more effective replacement medications,S
The most serious side effect of levamisole is agranulocytosis a severe depletion of white blood cells that leaves patients vulnerable to infection,S
Currently Levamisole remains in veterinary use as a dewormer for livestock,S
The medication has also been increasingly used as an adulterant in cocaine sold in the United States and Canada resulting in serious side effects,S
Thus 60 C is entered as the value for melting point in the info box,S
Olav Johan Sopp née Johan Oluf Olsen 6 October 1860  14 August 1931 was a Norwegian mycologist,S
He was a pioneer of Norwegian and international mycological research,S
He was the first to suggest classifying fungi as belonging to neither plantae nor animalia but to a third kingdom,S
He also contributed to the development of the Norwegian dairy and brewery industry,S
Laurent Terzieff 27 June 1935 Toulouse  2 July 2010 Paris was a French actor,S
The Reluctant Dragon is a 1941 American live action and animated film produced by Walt Disney directed by Alfred Werker and released by RKO Radio Pictures on June 20 1941,S
The first twenty minutes of the film are in blackandwhite the remainder is in Technicolor,S
The total length of all animated parts is 40 minutes,S
Kinmen or Quemoy  see also Names section below is a small archipelago of several islands administered by the Republic of China Taiwan including Great Kinmen Lesser Kinmen and some islets,S
Japan did however occupy Kinmen during the Second SinoJapanese War from 1937 to 1945,S
The island was returned to the civilian government in the mid1990s after which travel to and from it was allowed,S
The 201011 La Liga season known as the Liga BBVA for sponsorship reasons was the 80th since its establishment,S
The campaign began on 28 August 2010 and ended on 21 May 2011,S
A total of 20 teams contested the league 17 of which already contested in the 200910 season and three of which were promoted from the Segunda División,S
In addition a new match ball  the Nike Total 90 Tracer  served as the official ball for all matches,S
The 201011 Football League Championship known as the npower Football League Championship for sponsorship reasons was the seventh season of the league under its current name and nineteenth season under its current league division format,S
It started on 6 August 2010 and concluded on 7 May 2011 with the resultant playoffs concluding with the final on 30 May,S
The 2009 German motorcycle Grand Prix was the ninth round of the 2009 Grand Prix motorcycle racing season,S
It took place on the weekend of 1719 July 2009 at the Sachsenring located in HohensteinErnstthal Germany,S
At the age of 15 Friedrich won five gold medals in the 1985 European championships and won four more in the World Championship the next year,S
She had not lost in a single major international championship in any event until she was defeated by Janet Evans in the 400 m in the Seoul Olympics taking the silver medal,S
Freidrich had already won the gold medal in the 200 m freestyle on the previous day,S
Cristian Óscar Maidana born January 24 1987 is an Argentine footballer who currently plays for the Philadelphia Union in Major League Soccer,S
K141 Kursk was an OscarII class nuclearpowered cruise missile submarine of the Russian Navy lost with all hands when it sank in the Barents Sea on 12 August 2000,S
It was named after the Russian city Kursk around which the largest tank battle in history the Battle of Kursk took place in 1943,S
Roman Shishkin  born 27 January 1987 in Voronezh is an association footballer who plays for Lokomotiv Moscow in Russian Premier League,S
Aleksandr Sergeyevich Sheshukov  born April 15 1983 in Omsk is an association footballer currently playing for FC Lokomotiv Moscow,S
Southern Min or Min Nan  is a family of Chinese languages or varieties spoken in parts of China such as southern Fujian eastern Guangdong Hainan and southern Zhejiang and in Taiwan,S
The 195657 NHL season was the 40th season of the National Hockey League,S
Six teams each played 70 games,S
The Montreal Canadiens won the Stanley Cup for the second consecutive season defeating the Boston Bruins four games to one in the bestofseven final series,S
He was suffering from bone cancer and had been ill for two years and had been hospitalized in Montreal,S
Irvin had been several days late to training camp,S
Tommy Ivan took over as coach,S
Later in the season it was reported that Irvin had undergone minor surgery for anemia at Ross Memorial Hospital,S
Irvin died on May 15 1957,S
Ted Lindsay Detroits star left wing became the fourth player to score 300 career goals on November 18 when he picked up two goals in an 83 pasting of the Montreal Canadiens,S
The other players to reach this prestigious mark were Nels Stewart Maurice Richard and Gordie Howe who played opposite Lindsay for most of the latters career,S
On January 5 the Rangers and the Black Hawks played an afternoon game at Madison Square Garden where the Rangers beat the Black Hawks 41,S
This game was broadcast on the Columbia Broadcast System network CBS,S
Glen Skov spoiled Lorne Gump Worsleys wouldbe shutout with a goal in the third period,S
Montreal beat Toronto 21 at the Forum in Montreal on January 10 and moved into first place,S
The game was hardfought and referee Frank Udvari found it necessary to rule with an iron hand that angered the fans,S
Fans thought he was calling chippy penalties against the Habs and deliberately failing to call hooking and holding penalties by the Maple Leafs,S
The blowoff came in the last two minutes of the game,S
At 1814 knowing his Maple Leafs were in danger Toronto coach Howie Meeker pulled goaltender Ed Chadwick for six attackers,S
Dick Duff scored the tying goal and Richard went berserk and commenced a heated argument with Udvari banging his stick on the ice,S
He might have attacked Udvari if his teammates hadnt restrained him,S
Fans threw programmes paper cups hats and other debris and the game was held up,S
When it did resume Bernie Boom Boom Geoffrion set up Don Marshall for the winning goal with a mere six seconds left to play,S
Although the fans were pleased with the outcome an angry hum commenced as the players and officials left the ice,S
Udvari had to be escorted to his dressing room by police and ushers,S
A large part of the crowd now directed its attention to NHL President Clarence Campbell seated in his box seat and he became the target of jeers and threats,S
The situation began to show some of the aspects of the Richard Riot of two years previous when Richard had been suspended for an attack on an official,S
It was at least 30 minutes before Campbell was able to leave under police protection,S
Terry Sawchuk had been playing well and was a candidate for the Hart Trophy when he came down with mononucleosis,S
He came back too soon and by January 16 he announced his retirement from hockey a temporary one as he would be back in Detroit next season,S
Glenn Hall wasnt as good as the previous season but led the Detroit Red Wings to first place,S
Hall had played only two games prior to 195556 but had shown such promise Sawchuk was sent off,S
Prior to this season a team could score as many goals as they wanted in a two minute power play with the penalised player remaining in the penalty box,S
The NHL changed it so that when a goal is scored on a two minute power play the power play finished,S
The reason for this was because the Montreal Canadiens were so dominant on the power play the NHL needed a way of ensuring parity,S
The previous season saw the Canadiens score 26 of all the leagues power play goals,S
Montreal though scored 10 fewer power play goals,S
Fyodor Vasilievich Kudryashov  born 5 April 1987 is a Russian football left back who plays for FC Terek Grozny,S
Pavel Vladimirovich Yakovlev  born April 7 1991 is a Russian football player,S
Yevgeni Vladimirovich Makeyev or Evgeniy Makeev  born July 24 1989 in Cherepovets is an association football player,S
Nikita Aleksandrovich Bazhenov  born 1 February 1985 in Bolshoye Bunkovo Noginsky District Moscow Oblast is an association footballer who plays striker,S
Igor Olegovich Kireyev  born February 17 1992 in Zheleznogorsk is a Russian professional football player who currently plays for FC Amkar Perm on loan from FC Rostov,S
Artyom Sergeyevich Dzyuba  born 22 August 1988 in Moscow is a Russian footballer who plays as a striker for FC Rostov on loan from FC Spartak Moscow in the Russian Premier League,S
Jano Amiranovich Ananidze  born 10 October 1992 in Kobuleti is a Georgian footballer who plays as an attacking midfielder for Spartak Moscow in the Russian Premier League,S
Pavel Sergeyevich Golyshev  born July 7 1987 is a Russian footballer currently playing for FC Tom Tomsk,S
Sergei Aleksandrovich Pesyakov  born December 16 1988 in Ivanovo is a Russian footballer currently playing for Spartak Moscow,S
The 195758 NHL season was the 41st season of the National Hockey League,S
The Montreal Canadiens won the Stanley Cup for the third consecutive season defeating the Boston Bruins four games to two in the bestofseven final series,S
Lindsay lost his captaincy of the Detroit Red Wings and was traded to Chicago because of his efforts,S
After the NHL declined to negotiate with the players over benefits and would not open the books on the pension plan the players association filed an antitrust lawsuit,S
The lawsuit alleged the monopolization of the professional hockey industry since 1926,S
At this time the Toronto Maple Leafs players voted unanimously to certify the union,S
The NHL started to fight back,S
First they traded Lindsay to Chicago to separate him from the Red Wings who the NHLPA had targeted for a union vote,S
The ruse worked and the Red Wings players voted to disassociate themselves from the organizing,S
Despite this the antitrust lawsuit placed the NHLPA in a strong position,S
Montreals Maurice Rocket Richard became the first NHL player to score 500 career goals Jacques Plante won his third straight Vezina Trophy and Doug Harvey his fourth straight Norris Trophy,S
Chicago almost made the playoffs and Halls goaltending including seven shutouts one of which was in his debut with the Hawks made him a contender for the Hart Trophy,S
On October 19 1957 Rocket Richard in a 31 win over Chicago scored his 500th career goal against Glenn Hall,S
He immediately dedicated it to his old coach Dick Irvin who had died on May 15 1957 after a long bout with bone cancer,S
When Marcel Paille was brought up to the Rangers from Providence of the AHL for the ailing Gump Worsley he sparkled and Worsley was sent down to Providence though he was eventually recalled,S
Worsley had his finest campaign up to this point with a 232 goalsagainst average and four shutouts and the Rangers finished second  their highest finish since 194142,S
Two contenders for the Calder Memorial Trophy Chicagos Bobby Hull and the Toronto Maple Leafs Frank Mahovlich battled all season for rookie honours,S
Mahovlich prevailed although the Maple Leafs finished last in the NHL,S
This season also saw the first player of African descent play in the league,S
Willie ORee suited up with the Boston Bruins on January 18 1958 in a game against the Canadiens in Montreal,S
Aleksandr Sergeyevich Kozlov  born March 19 1993 is a Russian professional football player,S
Anton Amelchenko  Anton Amelchanka  born 27 March 1985 in Gomel is a Belarusian international footballer who last played for FC Rostov in the Russian Premier League,S
Night Work is the third studio album by American band Scissor Sisters,S
The album was released on June 28 2010 and was preceded by the release of lead single Fire with Fire on June 20,S
Mark Blaug FBA 3 April 1927  18 November 2011 was a Dutchborn British economist naturalised in 1982 who has covered a broad range of topics over his long career,S
He was visiting Professor in the Netherlands University of Amsterdam and Erasmus University in Rotterdam where he was also codirector of CHIMES Center for History in Management and Economics,S
Mark Blaug made far reaching contributions to a range of topics in economic thought throughout his career,S
Brooke Banner born September 28 1983 is an American pornographic actress and nude model,S
The 195859 NHL season was the 42nd season of the National Hockey League,S
Six teams each played 70 games,S
The Montreal Canadiens were the Stanley Cup champions as they beat the Toronto Maple Leafs four games to one in the bestofseven final series,S
This marked the fourth consecutive Stanley Cup win for the Canadiens as they became the first team to win four in a row,S
Toronto was on its way up,S
Ralph Backstrom and Jean Beliveau each had two goals apiece in a 91 Montreal win at the Montreal Forum on October 23,S
Rudy Pilous coach of the Black Hawks was far from pleased with his teams performance and fined his team 100 for the poor performance,S
Beliveau had the hat trick November 29 as Montreal beat Detroit 62 at the Forum,S
Gordie Howe was injured in a collision with Doug Harvey near the end of the first period and was taken to hospital,S
There was no serious damage and Howe was given an ovation when he returned in the third period,S
The next night Montreal sneeringly pasted the Red Wings 70 as Jacques Plante got his third shutout of the season,S
On January 3 Harvey was back in the Canadiens lineup and scored two goals in a 51 win over the New York Rangers at the Forum,S
A crowd of 14711 saw a freeforall at the end of the game,S
In the last minute of play Plante got two penalties one of them a major that sparked the fight,S
Jimmy Bartlett had skated right into Plante and Plante retaliated by punching Bartlett,S
In no time at all every player on the ice was involved except Rangers net minder Gump Worsley who decided to have none of the nonsense,S
Referee Dalton McArthur gave Bartlett a double major one for charging and one for fighting and a misconduct penalty,S
Harvey and Lou Fontinato also received major penalties,S
On February 1 the Rangers downed the Red Wings 54 at Madison Square Garden,S
Lou Fontinato became incensed when Gordie Howe whacked Eddie Shack over the ear with his stick and challenged the right wing,S
Howe terminated the fight with an uppercut that broke Fontinatos nose and left it several degrees off centre,S
Detroit coach Sid Abel formerly Howes centreman was furious at his team and fined 14 players 100 each for playing what he described as the worst game of hockey he had seen in 20 years,S
On February 15 at Madison Square Garden the Gumper had Montreal shut out with ten minutes remaining,S
Watson said Worsley hadnt played so bad,S
General manager Muzz Patrick said the workout was in lieu of fines,S
With five games left in the season the Rangers had a sevenpoint lead over Toronto,S
Then the Rangers went into a fatal tailspin and the Leafs got hot,S
The key game was played March 19 between Toronto and the Canadiens,S
Plante couldnt play due to a severe case of boils and so the Canadiens used Claude Pronovost in goal,S
He was bombed for five goals before coach Toe Blake yanked him in the third period,S
He was replaced by another nobody Claude Cyr,S
It was his first and last NHL game,S
He gave up only one goal the rest of the way but the damage was done,S
The Canadiens brought up the more capable Charlie Hodge from the Montreal Royals and on March 22 he beat the Rangers 42,S
The Rangers still had a chance to make the playoffs if Detroit beat Toronto,S
The Red Wings had a 30 lead that collapsed and the Leafs won 64 and ousted the Rangers making the playoffs themselves,S
This season marked the final time until 1967 where we would see an active player that had played for a team not in the Original Six,S
Former Brooklyn Americans player Ken Mosdell suited up for 2 postseason games for the Canadiens that year and retired after Montreal won the Cup,S
Lela Star born June 13 1985 is an American pornographic actress who has performed in over 100 scenes,S
She was in the industry for a year and appeared in more than 40 titles before signing with ClubJenna in June 2007,S
Originally from Miami she moved to Los Angeles to pursue her career fulltime,S
She appeared in Penthouse magazine as their July 2010 Pet of the Month,S
The Iran mens national volleyball team is the national mens volleyball team of Iran,S
It is governed by the Islamic Republic of Iran Volleyball Federation IRIVF,S
The 195960 NHL season was the 43rd season of the National Hockey League,S
The Montreal Canadiens were the Stanley Cup winners as they defeated the Toronto Maple Leafs four games to none for their fifth straight Stanley Cup,S
Montreal Canadiens goaltender Jacques Plante like Clint Benedict before him began to wear a mask in hockey games,S
Plante who had asthmarelated problems throughout his career began wearing a mask in practice shortly after a sinus operation in 1957,S
His first appearance with a mask in a game was on November 1 1959 against the New York Rangers,S
Although many in the NHL disapproved of Plantes decision due to the traditions of the NHL at the time many followed suit after Plante went undefeated in ten games with the mask on,S
Gump Worsley was demoted to Springfield of the AHL and Worsley screamed he was finished with hockey,S
Eddie Shore known for his criticism of his players gave Worsley a surprise vote of confidence,S
Gump played well for the Indians,S
This was brought to the attention of NHL President Clarence Campbell who then fined Bathgate 500 and Ranger general manager Muzz Patrick 100 on the grounds the article was prejudicial to and against the welfare of the league,S
Gump Worsley demoted to Springfield of the AHL was brought back up as Marcel Paille was even worse in goal,S
Gump and the Rangers beat the Canadiens 83 in his first game back,S
Then a week later Gump got bombed 112,S
Later against Chicago Worsley suffered an injury that finished him for the season,S
Hawks winger Bobby Hull skated over his catching glove and severed two tendons in his fingers,S
Al Rollins was called up to replace him,S
Later Olympic hero Jack McCartan played a few games for the Rangers and played very well,S
The Detroit Red Wings who were dead last and missed the playoffs the previous season squeaked into the playoffs riding a Hart Memorial Trophy performance by their ageless star rightwinger Gordie Howe,S
This season marked the first season of the Original Six era during which every active player had played for Original Six teams only,S
Ken Mosdell the last player to play for another team retired the previous season,S
Montreal in the process became the last Cup winners in NHL history to go undefeated in the playoffs to date,S
After winning the Stanley Cup Maurice Richard retired from the NHL as a champion,S
Robert Bob Howe born 3 August 1925 in Sydney died 30 November 2004 in Santa Ana California was an Australian tennis player,S
Frederick Fred Sydney Stolle AO born 8 October 1938 is a former Australian tennis player,S
As a member of the Australian Davis Cup team Stolle won the Davis Cup title in 1964 1965 and 1966,S
The 196061 NHL season was the 44th season of the National Hockey League,S
The Chicago Black Hawks defeated the Detroit Red Wings in the 1961 Stanley Cup Final four games to two to win the Stanley Cup,S
It was Chicagos first Cup win since  they would not win another until,S
Gordie Howe of the Red Wings became the first player in NHL history to achieve the career mark of 1000 regularseason points,S
It was decided to donate the Hart Memorial Trophy in its place,S
During his career he had led all scorers with a record 544 goals plus 82 for the playoffs,S
Despite the league expanding the number of games in a season to 70 games from 50 since Richards famous 50 goals in 50 games Richard remained the only player to score 50 goals in a season until this season,S
They had an especially powerful defence which had Pierre Pilote Al Arbour Jack Evans and Elmer Vasko,S
On October 13 the Canadiens routed the Rangers 84 with Bernie Geoffrion and Dickie Moore each scoring hat tricks,S
Chicagos Reg Fleming set a record with 37 penalty minutes in this game,S
They included three major penalties for battles with Dean Prentice Eddie Shack and John Hanna a misconduct and a game misconduct,S
On December 1 the Canadiens who had traded André Pronovost to Boston for JeanGuy Gendron defeated the Toronto Maple Leafs 63 at the Montreal Forum,S
Gendron had a goal but the main feature was the 21 penalties referee Frank Udvari had to call including several majors in the third period,S
Henri Richard took on Frank Mahovlich Dickie Moore squared off with Bob Pulford and Marcel Bonin scrapped with Bobby Baun,S
In the new year Stan Mikita helped to spark Chicago,S
He scored two goals in a 32 win over the Rangers on January 4 and scored the winner when the Black Hawks beat Boston 43 the following night,S
Former Canadiens defenceman Leo Lamoureux died in Indianapolis on January 11 at age 45,S
Chicago defeated the Rangers 43 on March 8,S
New York goalie Gump Worsley pulled a hamstring muscle and Joe Shaefer replaced him with the score 11,S
The next night the Rangers were eliminated from the playoffs as Bernie Geoffrion potted a hat trick in a 61 pasting by the Canadiens,S
Torontos Johnny Bower who appeared on his way to winning the Vezina Trophy strained a leg muscle and would have to take a rest,S
Cesare Maniago played in goal for the Leafs on March 16 and lost 52,S
It looked like two players Torontos Frank Mahovlich and Montreals Bernie Boom Boom Geoffrion were going to hit 50 goals but Mahovlich ended up slumping near the end of the season and missed 50 by two goals,S
Geoffrion scored his 50th goal that night and got a wild ovation,S
He also added 45 assists and led the league in scoring,S
Toronto played a 22 tie with the Rangers in their final game of the season and Bobby Baun was a victim of his own hard hitting,S
Camille Henry of the Rangers ran into Baun and Henrys skate cut Baun in the neck,S
Baun returned for the third period but after the game while boarding the team bus he began to gasp desperately,S
He groped for attention and waved his arms and his teammates finally realized he was in trouble and rushed him to the hospital where an emergency operation was performed to permit breathing,S
Baun missed some action in the playoffs as the result of the injury,S
Ryan Madsen Millar born January 22 1978 is an American volleyball player who plays as a middleblocker for the US national team,S
Dolan is also an alumnus of the Pontifical University of St Thomas Aquinas Angelicum from which he earned the degree of Licentiate of Sacred Theology in 1976,S
In 1992 Dolan was appointed ViceRector of his alma mater KenrickGlennon Seminary where he also served as spiritual director and taught Church history,S
He was also an adjunct professor of theology at St Louis University,S
From 1994 until June 2001 Dolan held the office of Rector of the Pontifical North American College in Rome,S
Dolan received the pallium a vestment worn by metropolitan bishops from Pope Benedict XVI on June 29 2009 in a ceremony at St Peters Basilica,S
He served as President of the United States Conference of Catholic Bishops until November 12 2013,S
Korn III Remember Who You Are is the ninth studio album by the American nu metal band Korn released on July 13 2010,S
The island country of Tonga can be divided into 5 divisions and 23 districts,S
The Keddie murders is an unsolved 1981 American quadruple murder that took place in Keddie a former rail road town in the foothills of Northern Californias Sierra Nevada mountains,S
The victims were Glenna Sue Sharp known as Sue age 36 her daughter Tina age 12 her son John age 15 and his friend Dana Wingate age 17,S
No arrests have been made in connection with the Keddie murders,S
On the night of April 11 1981 Sue was home with her daughter Tina her two youngest boys and a friend of the boys Justin who was staying the night,S
From these discoveries no new information regarding the crime surfaced in the media,S
The murders remain unsolved to this day,S
Following success in the Republic of Ireland the album was released elsewhere in Europe in September 2008,S
US soldiers torture detainees in Abu Ghraib prison which includes a female soldier making a human pyramid referring to the Abu Ghraib torture and prisoner abuse,S
Raoul Hausmann July 12 1886  February 1 1971 was an Austrian artist and writer,S
Calhoun County is a county located in the US state of Iowa,S
Calhoun County is a county located in the State of West Virginia,S
Gladys George September 13 1904  December 8 1954 was an American actress,S
In 1936 George was nominated for an Academy Award for Best Actress for Valiant Is the Word for Carrie,S
Grand Ayatollah Muhammad Hussein FadlAllāh also Sayyed Muhammad Hussein FadlAllāh  16 November 1935  4 July 2010 was a prominent Lebanese Twelver marja,S
Season 2 had several special episodes and marathons,S
The first special was Achy Jakey Heart in which Miley revealed her secret to Jake Ryan Cody Linley,S
The second special Me and Mr Jonas and Mr Jonas and Mr Jonas which guest starred the Jonas Brothers was aired with the premiere of High School Musical 2,S
Mitchel Musso is absent for six episodes,S
Moises Arias is absent for eight episodes,S
Cryptococcus neoformans is an encapsulated yeast that can live in both plants and animals,S
Its teleomorph is Filobasidiella neoformans a filamentous fungus belonging to the class Tremellomycetes,S
A third variety C n v gattii is now considered a distinct species Cryptococcus gattii,S
C n v grubii and C n v neoformans have a worldwide distribution and are often found in soil contaminated by bird excrement,S
The genome sequence of C neoformans v neoformans was published in 2005,S
When grown as a yeast C neoformans has a prominent capsule composed mostly of polysaccharides,S
Under the microscope the India ink stain is used for easy visualization of the capsule in cerebral spinal fluid,S
The particles of ink pigment do not enter the capsule that surrounds the spherical yeast cell resulting in a zone of clearance or halo around the cells,S
This allows for quick and easy identification of C neoformans,S
Most infections with C neoformans occur in the lungs,S
However fungal meningitis and encephalitis especially as a secondary infection for AIDS patients are often caused by C neoformans making it a particularly dangerous fungus,S
Infections with this fungus are rare in those with fully functioning immune systems,S
So C neoformans is sometimes referred to as an opportunistic fungus,S
Cryptococcal meningitis should be treated for two weeks with intrathecal amphotericin B 0710 mgkgday and oral flucytosine 100 mgkgday or intravenous flucytosine 75 mgkgday if the patient is unable to swallow,S
Intravenous ambisome 4 mgkgday may be used but is not superior its main use is in patients who do not tolerate amphotericin B,S
The dose of 200 mgkgday for flucytosine is not more effective is associated with more side effects and should not be used,S
In Africa oral fluconazole at a rate of 200 mg daily is often used,S
However this does not result in cure because it merely suppresses the fungus and does not kill it viable fungus can continue to be grown from cerebrospinal fluid of patients not having taken fluconazole for many months,S
An increased dose of 400 mg daily does not improve outcomes but prospective studies from Uganda and Malawi reported that higher doses of 1200 mg per day have more fungicidal activity,S
8 in those rankings in 1963,S
Roger Alexander Deakins born 24 May 1949 is an English cinematographer best known for his work on the films of the Coen brothers and Sam Mendes,S
UFC 116 Lesnar vs Carwin was a mixed martial arts event held by the Ultimate Fighting Championship on July 3 2010 at the MGM Grand Garden Arena in Las Vegas Nevada,S
